start: 1606827519.2226803
time : 1606827519.6984098 signal: [{(4, 7): 1}]
time : 1606827519.702718 signal: [{(4, 7): 0}]
time : 1606827519.707021 signal: [{(4, 7): 1}]
time : 1606827519.711257 signal: [{(4, 7): 0}]
time : 1606827519.716554 signal: [{(4, 7): 1}]
time : 1606827519.720834 signal: [{(4, 7): 0}]
time : 1606827519.725057 signal: [{(4, 7): 1}]
time : 1606827519.7292523 signal: [{(4, 7): 0}]
time : 1606827519.7334528 signal: [{(4, 7): 1}]
time : 1606827519.7375965 signal: [{(4, 7): 0}]
time : 1606827519.741847 signal: [{(4, 7): 1}]
time : 1606827519.7461045 signal: [{(4, 7): 0}]
time : 1606827519.7504034 signal: [{(4, 7): 1}]
time : 1606827519.7546973 signal: [{(4, 7): 0}]
time : 1606827519.7579746 signal: [{(4, 7): 1}]
time : 1606827519.7622595 signal: [{(4, 7): 0}]
time : 1606827519.766547 signal: [{(4, 7): 1}]
time : 1606827519.770798 signal: [{(4, 7): 0}]
time : 1606827519.7751265 signal: [{(4, 7): 1}]
time : 1606827519.7793088 signal: [{(4, 7): 0}]
time : 1606827519.7835872 signal: [{(4, 7): 1}]
time : 1606827519.7878504 signal: [{(4, 7): 0}]
time : 1606827519.7920628 signal: [{(4, 7): 1}]
time : 1606827519.7963233 signal: [{(4, 7): 0}]
time : 1606827519.8005893 signal: [{(4, 7): 1}]
time : 1606827519.804843 signal: [{(4, 7): 0}]
time : 1606827519.809019 signal: [{(4, 7): 1}]
time : 1606827519.8141956 signal: [{(4, 7): 0}]
time : 1606827519.8184748 signal: [{(4, 7): 1}]
time : 1606827519.8227386 signal: [{(4, 7): 0}]
time : 1606827519.8271277 signal: [{(4, 7): 1}]
time : 1606827519.831228 signal: [{(4, 7): 0}]
time : 1606827519.8351793 signal: [{(4, 7): 1}]
time : 1606827519.8390715 signal: [{(4, 7): 0}]
time : 1606827519.843096 signal: [{(4, 7): 1}]
time : 1606827519.8471189 signal: [{(4, 7): 0}]
time : 1606827519.85111 signal: [{(4, 7): 1}]
time : 1606827519.8551028 signal: [{(4, 7): 0}]
time : 1606827519.8590968 signal: [{(4, 7): 1}]
time : 1606827519.863062 signal: [{(4, 7): 0}]
time : 1606827519.8670628 signal: [{(4, 7): 1}]
time : 1606827519.8710823 signal: [{(4, 7): 0}]
time : 1606827519.8751304 signal: [{(4, 7): 1}]
time : 1606827519.8792279 signal: [{(4, 7): 0}]
time : 1606827519.8833623 signal: [{(4, 7): 1}]
time : 1606827519.8876042 signal: [{(4, 7): 0}]
time : 1606827519.8908944 signal: [{(4, 7): 1}]
time : 1606827519.8951538 signal: [{(4, 7): 0}]
time : 1606827519.89942 signal: [{(4, 7): 1}]
time : 1606827519.9036536 signal: [{(4, 7): 0}]
time : 1606827519.9079905 signal: [{(4, 7): 1}]
time : 1606827519.9122052 signal: [{(4, 7): 0}]
time : 1606827519.9164908 signal: [{(4, 7): 1}]
time : 1606827519.9207625 signal: [{(4, 7): 0}]
time : 1606827519.9250154 signal: [{(4, 7): 1}]
time : 1606827519.9292285 signal: [{(4, 7): 0}]
time : 1606827519.9335122 signal: [{(4, 7): 1}]
time : 1606827519.9377785 signal: [{(4, 7): 0}]
time : 1606827519.9430206 signal: [{(4, 7): 1}]
time : 1606827519.9472466 signal: [{(4, 7): 0}]
time : 1606827519.9514897 signal: [{(4, 7): 1}]
time : 1606827519.9557498 signal: [{(4, 7): 0}]
time : 1606827519.959977 signal: [{(4, 7): 1}]
time : 1606827519.9641607 signal: [{(4, 7): 0}]
time : 1606827519.9684484 signal: [{(4, 7): 1}]
time : 1606827519.9726725 signal: [{(4, 7): 0}]
time : 1606827519.9768827 signal: [{(4, 7): 1}]
time : 1606827519.9810338 signal: [{(4, 7): 0}]
time : 1606827519.9851336 signal: [{(4, 7): 1}]
time : 1606827519.9893677 signal: [{(4, 7): 0}]
time : 1606827519.9935632 signal: [{(4, 7): 1}]
time : 1606827519.9977386 signal: [{(4, 7): 0}]
time : 1606827520.001954 signal: [{(4, 7): 1}]
time : 1606827520.0061836 signal: [{(4, 7): 0}]
time : 1606827520.010441 signal: [{(4, 7): 1}]
time : 1606827520.01472 signal: [{(4, 7): 0}]
time : 1606827520.018923 signal: [{(4, 7): 1}]
time : 1606827520.0231583 signal: [{(4, 7): 0}]
time : 1606827520.0264394 signal: [{(4, 7): 1}]
time : 1606827520.0306654 signal: [{(4, 7): 0}]
time : 1606827520.0347712 signal: [{(4, 7): 1}]
time : 1606827520.039059 signal: [{(4, 7): 0}]
time : 1606827520.043248 signal: [{(4, 7): 1}]
time : 1606827520.04751 signal: [{(4, 7): 0}]
time : 1606827520.051861 signal: [{(4, 7): 1}]
time : 1606827520.0561461 signal: [{(4, 7): 0}]
time : 1606827520.0604327 signal: [{(4, 7): 1}]
time : 1606827520.064884 signal: [{(4, 7): 0}]
time : 1606827520.0692987 signal: [{(4, 7): 1}]
time : 1606827520.073671 signal: [{(4, 7): 0}]
time : 1606827520.079031 signal: [{(4, 7): 1}]
time : 1606827520.0835748 signal: [{(4, 7): 0}]
time : 1606827520.0881674 signal: [{(4, 7): 1}]
time : 1606827520.092767 signal: [{(4, 7): 0}]
time : 1606827520.097204 signal: [{(4, 7): 1}]
time : 1606827520.1017485 signal: [{(4, 7): 0}]
time : 1606827520.1063056 signal: [{(4, 7): 1}]
time : 1606827520.1107607 signal: [{(4, 7): 0}]
time : 1606827520.115273 signal: [{(4, 7): 1}]
time : 1606827520.1198916 signal: [{(4, 7): 0}]
time : 1606827520.1244335 signal: [{(4, 7): 1}]
time : 1606827520.128785 signal: [{(4, 7): 0}]
time : 1606827520.1330981 signal: [{(4, 7): 1}]
time : 1606827520.1374125 signal: [{(4, 7): 0}]
time : 1606827520.141711 signal: [{(4, 7): 1}]
time : 1606827520.1461842 signal: [{(4, 7): 0}]
time : 1606827520.1505907 signal: [{(4, 7): 1}]
time : 1606827520.1550128 signal: [{(4, 7): 0}]
time : 1606827520.1594026 signal: [{(4, 7): 1}]
time : 1606827520.1638086 signal: [{(4, 7): 0}]
time : 1606827520.1671836 signal: [{(4, 7): 1}]
time : 1606827520.1715186 signal: [{(4, 7): 0}]
time : 1606827520.1758342 signal: [{(4, 7): 1}]
time : 1606827520.1802266 signal: [{(4, 7): 0}]
time : 1606827520.1847665 signal: [{(4, 7): 1}]
time : 1606827520.1892877 signal: [{(4, 7): 0}]
time : 1606827520.1939254 signal: [{(4, 7): 1}]
time : 1606827520.19837 signal: [{(4, 7): 0}]
time : 1606827520.202765 signal: [{(4, 7): 1}]
time : 1606827520.2072003 signal: [{(4, 7): 0}]
time : 1606827520.2116125 signal: [{(4, 7): 1}]
time : 1606827520.21705 signal: [{(4, 7): 0}]
time : 1606827520.2213097 signal: [{(4, 7): 1}]
time : 1606827520.2256687 signal: [{(4, 7): 0}]
time : 1606827520.2301729 signal: [{(4, 7): 1}]
time : 1606827520.2345805 signal: [{(4, 7): 0}]
time : 1606827520.238904 signal: [{(4, 7): 1}]
time : 1606827520.2432556 signal: [{(4, 7): 0}]
time : 1606827520.2476194 signal: [{(4, 7): 1}]
time : 1606827520.252134 signal: [{(4, 7): 0}]
time : 1606827520.2566326 signal: [{(4, 7): 1}]
time : 1606827520.2611177 signal: [{(4, 7): 0}]
time : 1606827520.265603 signal: [{(4, 7): 1}]
time : 1606827520.2702825 signal: [{(4, 7): 0}]
time : 1606827520.27468 signal: [{(4, 7): 1}]
time : 1606827520.279111 signal: [{(4, 7): 0}]
time : 1606827520.2835138 signal: [{(4, 7): 1}]
time : 1606827520.287864 signal: [{(4, 7): 0}]
time : 1606827520.292196 signal: [{(4, 7): 1}]
time : 1606827520.2965324 signal: [{(4, 7): 0}]
time : 1606827520.3008666 signal: [{(4, 7): 1}]
time : 1606827520.3052547 signal: [{(4, 7): 0}]
time : 1606827520.3087027 signal: [{(4, 7): 1}]
time : 1606827520.3132079 signal: [{(4, 7): 0}]
time : 1606827520.3177881 signal: [{(4, 7): 1}]
time : 1606827520.322154 signal: [{(4, 7): 0}]
time : 1606827520.3265429 signal: [{(4, 7): 1}]
time : 1606827520.3309376 signal: [{(4, 7): 0}]
time : 1606827520.3352864 signal: [{(4, 7): 1}]
time : 1606827520.3395672 signal: [{(4, 7): 0}]
time : 1606827520.3439243 signal: [{(4, 7): 1}]
time : 1606827520.3482158 signal: [{(4, 7): 0}]
time : 1606827520.352799 signal: [{(4, 7): 1}]
time : 1606827520.3573275 signal: [{(4, 7): 0}]
time : 1606827520.361819 signal: [{(4, 7): 1}]
time : 1606827520.3661985 signal: [{(4, 7): 0}]
time : 1606827520.370621 signal: [{(4, 7): 1}]
time : 1606827520.3750262 signal: [{(4, 7): 0}]
time : 1606827520.3792531 signal: [{(4, 7): 1}]
time : 1606827520.3836145 signal: [{(4, 7): 0}]
time : 1606827520.3881624 signal: [{(4, 7): 1}]
time : 1606827520.392729 signal: [{(4, 7): 0}]
time : 1606827520.3971674 signal: [{(4, 7): 1}]
time : 1606827520.4017386 signal: [{(4, 7): 0}]
time : 1606827520.4063897 signal: [{(4, 7): 1}]
time : 1606827520.410862 signal: [{(4, 7): 0}]
time : 1606827520.41523 signal: [{(4, 7): 1}]
time : 1606827520.4195445 signal: [{(4, 7): 0}]
time : 1606827520.4251614 signal: [{(4, 7): 1}]
time : 1606827520.4296777 signal: [{(4, 7): 0}]
time : 1606827520.4343734 signal: [{(4, 7): 1}]
time : 1606827520.4388378 signal: [{(4, 7): 0}]
time : 1606827520.4432282 signal: [{(4, 7): 1}]
time : 1606827520.4475987 signal: [{(4, 7): 0}]
time : 1606827520.4519784 signal: [{(4, 7): 1}]
time : 1606827520.4563105 signal: [{(4, 7): 0}]
time : 1606827520.4606552 signal: [{(4, 7): 1}]
time : 1606827520.4651463 signal: [{(4, 7): 0}]
time : 1606827520.4695058 signal: [{(4, 7): 1}]
time : 1606827520.4739728 signal: [{(4, 7): 0}]
time : 1606827520.4783921 signal: [{(4, 7): 1}]
time : 1606827520.4828439 signal: [{(4, 7): 0}]
time : 1606827520.4872348 signal: [{(4, 7): 1}]
time : 1606827520.491698 signal: [{(4, 7): 0}]
time : 1606827520.4960814 signal: [{(4, 7): 1}]
time : 1606827520.5005867 signal: [{(4, 7): 0}]
