start: 1606827524.756099
time : 1606827524.7570858 signal: []
time : 1606827524.758128 signal: [{(4, 7): 1}]
time : 1606827524.8091323 signal: [{(4, 7): 0}]
time : 1606827524.8609102 signal: [{(4, 7): 1}]
time : 1606827524.9126923 signal: [{(4, 7): 0}]
time : 1606827524.9621885 signal: [{(4, 7): 1}]
time : 1606827525.0158815 signal: [{(4, 7): 0}]
time : 1606827525.0683749 signal: [{(4, 7): 1}]
time : 1606827525.1206405 signal: [{(4, 7): 0}]
time : 1606827525.1712976 signal: [{(4, 7): 1}]
time : 1606827525.2243905 signal: [{(4, 7): 0}]
time : 1606827525.2760668 signal: [{(4, 7): 1}]
time : 1606827525.326749 signal: [{(4, 7): 0}]
time : 1606827525.3790164 signal: [{(4, 7): 1}]
time : 1606827525.4315815 signal: [{(4, 7): 0}]
time : 1606827525.4822748 signal: [{(4, 7): 1}]
time : 1606827525.5341053 signal: [{(4, 7): 0}]
time : 1606827525.5851195 signal: [{(4, 7): 1}]
time : 1606827525.637626 signal: [{(4, 7): 0}]
time : 1606827525.6894307 signal: [{(4, 7): 1}]
time : 1606827525.7425277 signal: [{(4, 7): 0}]
time : 1606827525.794882 signal: [{(4, 7): 1}]
time : 1606827525.8472786 signal: [{(4, 7): 0}]
time : 1606827525.8981931 signal: [{(4, 7): 1}]
time : 1606827525.9508088 signal: [{(4, 7): 0}]
time : 1606827526.0015297 signal: [{(4, 7): 1}]
time : 1606827526.0524457 signal: [{(4, 7): 0}]
time : 1606827526.1053545 signal: [{(4, 7): 1}]
time : 1606827526.1561015 signal: [{(4, 7): 0}]
time : 1606827526.209171 signal: [{(4, 7): 1}]
time : 1606827526.2609835 signal: [{(4, 7): 0}]
time : 1606827526.3129363 signal: [{(4, 7): 1}]
time : 1606827526.3641546 signal: [{(4, 7): 0}]
time : 1606827526.4134119 signal: [{(4, 7): 1}]
time : 1606827526.4645538 signal: [{(4, 7): 0}]
time : 1606827526.516274 signal: [{(4, 7): 1}]
time : 1606827526.5668967 signal: [{(4, 7): 0}]
time : 1606827526.6187239 signal: [{(4, 7): 1}]
time : 1606827526.6699374 signal: [{(4, 7): 0}]
time : 1606827526.7210639 signal: [{(4, 7): 1}]
time : 1606827526.7733526 signal: [{(4, 7): 0}]
time : 1606827526.825219 signal: [{(4, 7): 1}]
time : 1606827526.8765597 signal: [{(4, 7): 0}]
time : 1606827526.928848 signal: [{(4, 7): 1}]
time : 1606827526.9807684 signal: [{(4, 7): 0}]
time : 1606827527.031674 signal: [{(4, 7): 1}]
time : 1606827527.0846937 signal: [{(4, 7): 0}]
time : 1606827527.1378417 signal: [{(4, 7): 1}]
time : 1606827527.190035 signal: [{(4, 7): 0}]
time : 1606827527.2424898 signal: [{(4, 7): 1}]
time : 1606827527.2932115 signal: [{(4, 7): 0}]
time : 1606827527.3470268 signal: [{(4, 7): 1}]
time : 1606827527.399303 signal: [{(4, 7): 0}]
time : 1606827527.4511952 signal: [{(4, 7): 1}]
time : 1606827527.5020666 signal: [{(4, 7): 0}]
time : 1606827527.5519593 signal: [{(4, 7): 1}]
time : 1606827527.6029184 signal: [{(4, 7): 0}]
time : 1606827527.6540184 signal: [{(4, 7): 1}]
time : 1606827527.705789 signal: [{(4, 7): 0}]
time : 1606827527.7571523 signal: [{(4, 7): 1}]
time : 1606827527.8080652 signal: [{(4, 7): 0}]
time : 1606827527.8607757 signal: [{(4, 7): 1}]
time : 1606827527.9129498 signal: [{(4, 7): 0}]
time : 1606827527.9650824 signal: [{(4, 7): 1}]
time : 1606827528.0174737 signal: [{(4, 7): 0}]
time : 1606827528.0678785 signal: [{(4, 7): 1}]
time : 1606827528.1199365 signal: [{(4, 7): 0}]
time : 1606827528.1719277 signal: [{(4, 7): 1}]
time : 1606827528.2233756 signal: [{(4, 7): 0}]
time : 1606827528.2763894 signal: [{(4, 7): 1}]
time : 1606827528.3283863 signal: [{(4, 7): 0}]
time : 1606827528.3796222 signal: [{(4, 7): 1}]
time : 1606827528.4311423 signal: [{(4, 7): 0}]
time : 1606827528.482383 signal: [{(4, 7): 1}]
time : 1606827528.5341878 signal: [{(4, 7): 0}]
time : 1606827528.5855775 signal: [{(4, 7): 1}]
time : 1606827528.6368382 signal: [{(4, 7): 0}]
time : 1606827528.6881204 signal: [{(4, 7): 1}]
time : 1606827528.7374697 signal: [{(4, 7): 0}]
time : 1606827528.788298 signal: [{(4, 7): 1}]
time : 1606827528.8396523 signal: [{(4, 7): 0}]
time : 1606827528.8901677 signal: [{(4, 7): 1}]
time : 1606827528.9411588 signal: [{(4, 7): 0}]
time : 1606827528.9933255 signal: [{(4, 7): 1}]
time : 1606827529.042849 signal: [{(4, 7): 0}]
time : 1606827529.0957713 signal: [{(4, 7): 1}]
time : 1606827529.147419 signal: [{(4, 7): 0}]
time : 1606827529.1995583 signal: [{(4, 7): 1}]
time : 1606827529.2520838 signal: [{(4, 7): 0}]
time : 1606827529.3043268 signal: [{(4, 7): 1}]
time : 1606827529.3575428 signal: [{(4, 7): 0}]
time : 1606827529.4091964 signal: [{(4, 7): 1}]
time : 1606827529.4594848 signal: [{(4, 7): 0}]
time : 1606827529.5115623 signal: [{(4, 7): 1}]
time : 1606827529.5622473 signal: [{(4, 7): 0}]
time : 1606827529.614576 signal: [{(4, 7): 1}]
time : 1606827529.666896 signal: [{(4, 7): 0}]
time : 1606827529.719488 signal: [{(4, 7): 1}]
time : 1606827529.7715504 signal: [{(4, 7): 0}]
time : 1606827529.8234117 signal: [{(4, 7): 1}]
time : 1606827529.8733532 signal: [{(4, 7): 0}]
